symbol,Z,name,species,charge,molar_mass,uncertainty
H,1,Hydrogen,H⁺,1.0,1.008,0.0002
He,2,Helium,,,4.0026,0.0001
Li,3,Lithium,Li⁺,1.0,6.94,0.06
Be,4,Beryllium,Be²⁺,2.0,9.0122,0.0001
B,5,Boron,H₃BO₃ (boric acid),0.0,10.81,0.02
C,6,Carbon,HCO₃⁻ (bicarbonate),-1.0,12.011,0.002
N,7,Nitrogen,NO₃⁻ (nitrate; also NH₄⁺),-1.0,14.007,0.001
O,8,Oxygen,O²⁻,-2.0,15.999,0.001
F,9,Fluorine,F⁻,-1.0,18.998,0.001
Ne,10,Neon,,,20.18,0.001
Na,11,Sodium,Na⁺,1.0,22.99,0.001
Mg,12,Magnesium,Mg²⁺,2.0,24.305,0.002
Al,13,Aluminium,Al³⁺,3.0,26.982,0.001
Si,14,Silicon,H₄SiO₄ (silicic acid),0.0,28.085,0.001
P,15,Phosphorus,H₂PO₄⁻ (also HPO₄²⁻),-1.0,30.974,0.001
S,16,Sulfur,SO₄²⁻ (sulfate),-2.0,32.06,0.02
Cl,17,Chlorine,Cl⁻,-1.0,35.45,0.01
Ar,18,Argon,,,39.95,0.16
K,19,Potassium,K⁺,1.0,39.098,0.001
Ca,20,Calcium,Ca²⁺,2.0,40.078,0.004
Sc,21,Scandium,Sc³⁺,3.0,44.956,0.001
Ti,22,Titanium,Ti⁴⁺,4.0,47.867,0.001
V,23,Vanadium,VO₄³⁻ / V(V),5.0,50.942,0.001
Cr,24,Chromium,Cr³⁺ (also CrO₄²⁻),3.0,51.996,0.001
Mn,25,Manganese,Mn²⁺,2.0,54.938,0.001
Fe,26,Iron,Fe³⁺ (also Fe²⁺),3.0,55.845,0.002
Co,27,Cobalt,Co²⁺,2.0,58.933,0.001
Ni,28,Nickel,Ni²⁺,2.0,58.693,0.001
Cu,29,Copper,Cu²⁺,2.0,63.546,0.003
Zn,30,Zinc,Zn²⁺,2.0,65.38,0.02
Ga,31,Gallium,Ga³⁺,3.0,69.723,0.001
Ge,32,Germanium,Ge⁴⁺,4.0,72.63,0.008
As,33,Arsenic,AsO₄³⁻ (arsenate),-3.0,74.922,0.001
Se,34,Selenium,SeO₄²⁻ (selenate),-2.0,78.971,0.008
Br,35,Bromine,Br⁻,-1.0,79.904,0.003
Kr,36,Krypton,,,83.798,0.002
Rb,37,Rubidium,Rb⁺,1.0,85.468,0.001
Sr,38,Strontium,Sr²⁺,2.0,87.62,0.01
Y,39,Yttrium,Y³⁺,3.0,88.906,0.001
Zr,40,Zirconium,Zr⁴⁺,4.0,91.222,0.003
Nb,41,Niobium,Nb⁵⁺,5.0,92.906,0.001
Mo,42,Molybdenum,MoO₄²⁻ (molybdate),-2.0,95.95,0.01
Tc,43,Technetium,,,,
Ru,44,Ruthenium,Ru³⁺,3.0,101.07,0.02
Rh,45,Rhodium,Rh³⁺,3.0,102.91,0.01
Pd,46,Palladium,Pd²⁺,2.0,106.42,0.01
Ag,47,Silver,Ag⁺,1.0,107.87,0.01
Cd,48,Cadmium,Cd²⁺,2.0,112.41,0.01
In,49,Indium,In³⁺,3.0,114.82,0.01
Sn,50,Tin,Sn²⁺ (also Sn⁴⁺),2.0,118.71,0.01
Sb,51,Antimony,Sb³⁺,3.0,121.76,0.01
Te,52,Tellurium,Te⁴⁺,4.0,127.6,0.03
I,53,Iodine,I⁻,-1.0,126.9,0.01
Xe,54,Xenon,,,131.29,0.01
Cs,55,Caesium,Cs⁺,1.0,132.91,0.01
Ba,56,Barium,Ba²⁺,2.0,137.33,0.01
La,57,Lanthanum,La³⁺,3.0,138.91,0.01
Ce,58,Cerium,Ce³⁺ (also Ce⁴⁺),3.0,140.12,0.01
Pr,59,Praseodymium,Pr³⁺,3.0,140.91,0.01
Nd,60,Neodymium,Nd³⁺,3.0,144.24,0.01
Pm,61,Promethium,,,,
Sm,62,Samarium,Sm³⁺,3.0,150.36,0.02
Eu,63,Europium,Eu³⁺,3.0,151.96,0.01
