","""","""",""Cu"","""",""Mn"""
","""","""",""ppm"","""",""ppm"""
"03.50 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 10:09 AM"",""1.96"","""",""ND"","""""
"03.50 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 10:12 AM"",""1.91"","""",""ND"","""""
"03.50 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 10:14 AM"",""1.70"","""",""ND"","""""
"Number,"""","""",""3"","""",""3"""
"Average,"""","""",""1.86"","""",""1.080"""
"Maximum,"""","""",""1.96"","""",""2.583"""
"Minimum,"""","""",""1.70"","""",""0.114"""
"Range,"""","""",""0.26"","""",""2.470"""
"Std dev.,"""","""",""0.14"","""",""1.319"""
"RSD(%),"""","""",""7.45"","""",""122.17"""

","""","""",""Mid-Z"",""Mid-Z"""
","""","""",""Mn-KA"",""Cu-KA"""
","""","""",""cps/µA"",""cps/µA"""
"03.50 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 10:09 AM"",""0.353"",""1.493"""
"03.50 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 10:12 AM"",""0.340"",""1.491"""
"03.50 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 10:14 AM"",""0.338"",""1.485"""
"Number,"""","""",""3"",""3"""
"Average,"""","""",""0.34371"",""1.48993"""
"Maximum,"""","""",""0.35281"",""1.49319"""
"Minimum,"""","""",""0.33787"",""1.48513"""
"Range,"""","""",""0.01494"",""0.00806"""
"Std dev.,"""","""",""0.00798"",""0.00425"""
"RSD(%),"""","""",""2.32"",""0.28"""
