"","","","Cu"
"","","","ppm"
"02.15  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:51 AM","23.6",""
"02.15  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:54 AM","23.4",""
"02.15  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:56 AM","23.3",""
"Number","","","3"
"Average","","","23.4"
"Maximum","","","23.6"
"Minimum","","","23.3"
"Range","","","0.3"
"Std dev.","","","0.1"
"RSD(%)","","","0.59"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"02.15  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:51 AM","2.225"
"02.15  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:54 AM","2.220"
"02.15  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:56 AM","2.216"
"Number","","","3"
"Average","","","2.22035"
"Maximum","","","2.22510"
"Minimum","","","2.21642"
"Range","","","0.00868"
"Std dev.","","","0.00440"
"RSD(%)","","","0.20"

