","""","""",""Cu"""
","""","""",""ppm"""
"03.30  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:58 AM"",""22.9"","""""
"03.30  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:00 AM"",""23.0"","""""
"03.30  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:02 AM"",""22.4"","""""
"Number,"""","""",""3"""
"Average,"""","""",""22.8"""
"Maximum,"""","""",""23.0"""
"Minimum,"""","""",""22.4"""
"Range,"""","""",""0.5"""
"Std dev.,"""","""",""0.3"""
"RSD(%),"""","""",""1.26"""

","""","""",""Mid-Z"""
","""","""",""Cu-KA"""
","""","""",""cps/µA"""
"03.30  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:58 AM"",""2.202"""
"03.30  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:00 AM"",""2.206"""
"03.30  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:02 AM"",""2.188"""
"Number,"""","""",""3"""
"Average,"""","""",""2.19873"""
"Maximum,"""","""",""2.20566"""
"Minimum,"""","""",""2.18837"""
"Range,"""","""",""0.01729"""
"Std dev.,"""","""",""0.00914"""
"RSD(%),"""","""",""0.42"""
