","""","""",""Pb"""
","""","""",""ppm"""
"06.10  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:39 AM"",""12.1"","""""
"06.10  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:41 AM"",""12.1"","""""
"06.10  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:43 AM"",""12.1"","""""
"Number,"""","""",""3"""
"Average,"""","""",""12.1"""
"Maximum,"""","""",""12.1"""
"Minimum,"""","""",""12.1"""
"Range,"""","""",""0.0"""
"Std dev.,"""","""",""0.0"""
"RSD(%),"""","""",""0.26"""

","""","""",""Mid-Z"""
","""","""",""Cu-KA"""
","""","""",""cps/µA"""
"06.10  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:39 AM"",""2.211"""
"06.10  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:41 AM"",""2.225"""
"06.10  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:43 AM"",""2.236"""
"Number,"""","""",""3"""
"Average,"""","""",""2.22390"""
"Maximum,"""","""",""2.23564"""
"Minimum,"""","""",""2.21129"""
"Range,"""","""",""0.02435"""
"Std dev.,"""","""",""0.01220"""
"RSD(%),"""","""",""0.55"""
