"","","","Cu","","Pb"
"","","","ppm","","ppm"
"AK2Pb30Cu30HIB6p6t30R1","CP Pb+ Cu 23.06","6/26/2026 11:40 AM","23.1","","13.2",""
"AK2Pb30Cu30HIB6p6t30R1","CP Pb+ Cu 23.06","6/26/2026 11:45 AM","23.6","","12.9",""
"AK2Pb30Cu30HIB6p6t30R1","CP Pb+ Cu 23.06","6/26/2026 11:49 AM","22.7","","13.3",""
"Number","","","3","","3"
"Average","","","23.1","","13.1"
"Maximum","","","23.6","","13.3"
"Minimum","","","22.7","","12.9"
"Range","","","0.8","","0.4"
"Std dev.","","","0.4","","0.2"
"RSD(%)","","","1.82","","1.45"

"","","","Low-Z","Mid-Z","Mid-Z","Mid-Z"
"","","","Pb-MA","Cu-KA","Pb-LA","Pb-LB1"
"","","","cps/µA","cps/µA","cps/µA","cps/µA"
"AK2Pb30Cu30HIB6p6t30R1","CP Pb+ Cu 23.06","6/26/2026 11:40 AM","12.171","2.272","0.975","1.692"
"AK2Pb30Cu30HIB6p6t30R1","CP Pb+ Cu 23.06","6/26/2026 11:45 AM","12.171","2.287","0.962","1.714"
"AK2Pb30Cu30HIB6p6t30R1","CP Pb+ Cu 23.06","6/26/2026 11:49 AM","12.182","2.261","0.980","1.712"
"Number","","","3","3","3","3"
"Average","","","12.17467","2.27338","0.97253","1.70610"
"Maximum","","","12.18165","2.28731","0.98002","1.71407"
"Minimum","","","12.17101","2.26067","0.96239","1.69245"
"Range","","","0.01064","0.02664","0.01764","0.02163"
"Std dev.","","","0.00605","0.01336","0.00911","0.01188"
"RSD(%)","","","0.05","0.59","0.94","0.70"

